interest_score,date
3,2021-02-07
3,2021-02-14
3,2021-02-21
7,2021-02-28
7,2021-03-07
5,2021-03-14
9,2021-03-21
8,2021-03-28
4,2021-04-04
6,2021-04-11
6,2021-04-18
7,2021-04-25
7,2021-05-02
6,2021-05-09
7,2021-05-16
6,2021-05-23
5,2021-05-30
6,2021-06-06
6,2021-06-13
4,2021-06-20
5,2021-06-27
4,2021-07-04
0,2021-07-11
4,2021-07-18
4,2021-07-25
3,2021-08-01
4,2021-08-08
4,2021-08-15
5,2021-08-22
6,2021-08-29
0,2021-09-05
6,2021-09-12
5,2021-09-19
4,2021-09-26
4,2021-10-03
6,2021-10-10
4,2021-10-17
5,2021-10-24
6,2021-10-31
5,2021-11-07
6,2021-11-14
4,2021-11-21
5,2021-11-28
5,2021-12-05
4,2021-12-12
3,2021-12-19
7,2021-12-26
0,2022-01-02
5,2022-01-09
6,2022-01-16
6,2022-01-23
5,2022-01-30
8,2022-02-06
6,2022-02-13
5,2022-02-20
6,2022-02-27
5,2022-03-06
5,2022-03-13
8,2022-03-20
7,2022-03-27
5,2022-04-03
5,2022-04-10
7,2022-04-17
7,2022-04-24
7,2022-05-01
6,2022-05-08
8,2022-05-15
7,2022-05-22
6,2022-05-29
6,2022-06-05
10,2022-06-12
11,2022-06-19
9,2022-06-26
8,2022-07-03
11,2022-07-10
9,2022-07-17
13,2022-07-24
7,2022-07-31
8,2022-08-07
7,2022-08-14
8,2022-08-21
9,2022-08-28
8,2022-09-04
7,2022-09-11
8,2022-09-18
13,2022-09-25
21,2022-10-02
25,2022-10-09
21,2022-10-16
25,2022-10-23
21,2022-10-30
18,2022-11-06
18,2022-11-13
12,2022-11-20
15,2022-11-27
16,2022-12-04
17,2022-12-11
11,2022-12-18
14,2022-12-25
17,2023-01-01
13,2023-01-08
15,2023-01-15
14,2023-01-22
14,2023-01-29
13,2023-02-05
17,2023-02-12
19,2023-02-19
15,2023-02-26
16,2023-03-05
19,2023-03-12
18,2023-03-19
30,2023-03-26
21,2023-04-02
19,2023-04-09
24,2023-04-16
18,2023-04-23
23,2023-04-30
21,2023-05-07
22,2023-05-14
19,2023-05-21
20,2023-05-28
19,2023-06-04
30,2023-06-11
24,2023-06-18
23,2023-06-25
22,2023-07-02
30,2023-07-09
26,2023-07-16
30,2023-07-23
26,2023-07-30
29,2023-08-06
31,2023-08-13
31,2023-08-20
29,2023-08-27
25,2023-09-03
53,2023-09-10
49,2023-09-17
49,2023-09-24
33,2023-10-01
40,2023-10-08
38,2023-10-15
41,2023-10-22
39,2023-10-29
33,2023-11-05
25,2023-11-12
22,2023-11-19
25,2023-11-26
27,2023-12-03
28,2023-12-10
24,2023-12-17
19,2023-12-24
51,2023-12-31
29,2024-01-07
28,2024-01-14
27,2024-01-21
34,2024-01-28
37,2024-02-04
35,2024-02-11
51,2024-02-18
42,2024-02-25
52,2024-03-03
41,2024-03-10
51,2024-03-17
40,2024-03-24
47,2024-03-31
68,2024-04-07
73,2024-04-14
75,2024-04-21
74,2024-04-28
100,2024-05-05
97,2024-05-12
75,2024-05-19
84,2024-05-26
84,2024-06-02
88,2024-06-09
80,2024-06-16
68,2024-06-23
73,2024-06-30
77,2024-07-07
64,2024-07-14
64,2024-07-21
74,2024-07-28
58,2024-08-04
63,2024-08-11
58,2024-08-18
48,2024-08-25
47,2024-09-01
46,2024-09-08
46,2024-09-15
51,2024-09-22
47,2024-09-29
39,2024-10-06
96,2024-10-13
53,2024-10-20
39,2024-10-27
44,2024-11-03
41,2024-11-10
43,2024-11-17
36,2024-11-24
37,2024-12-01
31,2024-12-08
37,2024-12-15
34,2024-12-22
50,2024-12-29
52,2025-01-05
56,2025-01-12
56,2025-01-19
57,2025-01-26
55,2025-02-02
55,2025-02-09
58,2025-02-16
50,2025-02-23
51,2025-03-02
60,2025-03-09
55,2025-03-16
49,2025-03-23
53,2025-03-30
50,2025-04-06
52,2025-04-13
49,2025-04-20
59,2025-04-27
55,2025-05-04
54,2025-05-11
53,2025-05-18
54,2025-05-25
67,2025-06-01
55,2025-06-08
56,2025-06-15
56,2025-06-22
57,2025-06-29
64,2025-07-06
65,2025-07-13
73,2025-07-20
64,2025-07-27
56,2025-08-03
56,2025-08-10
52,2025-08-17
46,2025-08-24
45,2025-08-31
44,2025-09-07
48,2025-09-14
45,2025-09-21
40,2025-09-28
37,2025-10-05
40,2025-10-12
35,2025-10-19
40,2025-10-26
45,2025-11-02
57,2025-11-09
44,2025-11-16
35,2025-11-23
40,2025-11-30
37,2025-12-07
36,2025-12-14
36,2025-12-21
41,2025-12-28
45,2026-01-04
64,2026-01-10
42,2026-01-11
85,2026-01-12
99,2026-01-13
100,2026-01-14
86,2026-01-15
82,2026-01-16
63,2026-01-17
40,2026-01-18
56,2026-01-19
81,2026-01-20
73,2026-01-21
69,2026-01-22
84,2026-01-23
80,2026-01-24
34,2026-01-25
63,2026-01-26
65,2026-01-27
64,2026-01-28
62,2026-01-29
52,2026-01-30
50,2026-01-31
34,2026-02-01
60,2026-02-02
69,2026-02-03
62,2026-02-04
70,2026-02-05
60,2026-02-06
55,2026-02-07
30,2026-02-08
54,2026-02-09
32,2026-02-10
38,2026-02-11
33,2026-02-12
33,2026-02-13
35,2026-02-14
100,2026-02-15
70,2026-02-16
55,2026-02-17
39,2026-02-18
55,2026-02-19
40,2026-02-20
43,2026-02-21
35,2026-02-22
44,2026-02-23
48,2026-02-24
41,2026-02-25
45,2026-02-26
35,2026-02-27
30,2026-02-28
0,2026-03-01
49,2026-03-02
41,2026-03-03
36,2026-03-04
42,2026-03-05
40,2026-03-06
22,2026-03-07
24,2026-03-08
33,2026-03-09
31,2026-03-10
30,2026-03-11
32,2026-03-12
34,2026-03-13
32,2026-03-14
31,2026-03-15
35,2026-03-16
39,2026-03-17
37,2026-03-18
40,2026-03-19
31,2026-03-20
28,2026-03-21
